1636,field6,DHT22 - Temperatura
1636,field1,Luminosidade
1636,field7,Movimento
1636,field2,Temperatura
1636,field4,DHT11 - Temperatura
1636,field3,DHT11 - Humidade Relativa %
1636,field5,DHT22 - Humidade Relativa %
1637,field2,Humidity
1637,field1,Temperature
1642,field6,noise
1642,field1,text
1642,field2,gps
1642,field4,button1
1642,field3,temperature
1642,field5,button2
1643,field2,T2-Ext
1643,field1,T1-Int
1645,field1,Temperature [
1645,field2,Relative Humidity [%]
1645,field4,DCT-II f:50Hz [abs]
1645,field3,Battery [V]
1646,field2,Luftfeuchte [%]
1646,field3,Leistung [W]
1646,field1,Temp [
1653,field2,sensor battery level (Volts)
1653,field3,RF Fail
1653,field1,Power usage (Watt)
1663,field1,Field Label1
1666,field1,Field Label1
1667,field1,Field Label 1
1671,field6,Percipitation
1671,field1,Wind Speed
1671,field2,Temperature
1671,field4,Humidity
1671,field3,Dew Point
1671,field5,Pressure
1673,field1,House Temperature
1673,field2,Outside Temperature
1673,field4,Outside Pressure
1673,field3,Outside Humidity
1674,field1,Temperature
1676,field1,AlleyPing
1677,field6,wind speed
1677,field1,temperature
1677,field2,barometer
1677,field4,humidity
1677,field3,dewpoint
1677,field5,wind direction
1687,field2,Casselman Level
1687,field1,Ohiopyle Level
1698,field1,ValoreADC
1702,field1,Field Label 1
1706,field1,LM75B Temperature
1714,field8,Field Label 8
1714,field6,Field Label 6
1714,field1,Temperature 1
1714,field7,Field Label 7
1714,field2,Temperature 2
1714,field4,Field Label 4
1714,field3,Temperature 3
1714,field5,Field Label 5
1717,field1,Amplitude
1721,field2,SOC
1721,field3,loadavg
1721,field1,Voltage
1724,field1,etiqueta_1
1725,field1,Field Label 1
1728,field1,Field Label 1
1731,field2,Field Label 2
1731,field3,Field Label 3
1731,field1,Field Label 1
1736,field1,Space Open
1736,field2,Error Condition
1736,field4,Classroom Door
1736,field3,Main Door
1736,field5,Temperature
1740,field8,ssr
1740,field6,t_heat
1740,field1,t_out
1740,field7,hz
1740,field2,rh_out
1740,field4,rh_in
1740,field3,t_in
1740,field5,t_h20
1742,field1,color
1743,field1,temp1
1751,field1,Field Label 1
1754,field1,Test Data
1756,field8,Ch8
1756,field6,Ch6
1756,field1,Ch1
1756,field7,Ch7
1756,field2,Ch2
1756,field4,Ch4
1756,field3,Ch3
1756,field5,Ch5
1761,field1,Field Label 1
1763,field8,Field Label 8
1763,field6,Field Label 6
1763,field1,hetkellinen lampotila
1763,field7,Field Label 7
1763,field2,pimeyden maara
1763,field4,vrk keski-ilmanpaine
1763,field3,hetkellinen ilmanpaine
1763,field5,vrk keskilampotila
1764,field1,Temperatur
1792,field6,Rain
1792,field1,Pressure
1792,field7,Hail 
1792,field2,Temperature
1792,field4,Wind Speed
1792,field3,Relative Humidity
1792,field5,Wind Direction
1796,field8,Exterieur
1796,field6,Bureau
1796,field1,Cheminee
1796,field7,Salle a manger
1796,field2,Radiateurs
1796,field4,CH XS
1796,field3,Plancher
1796,field5,CH Lilian
1802,field1,Temp
1806,field2,Garage Door 2 Closed
1806,field1,Garage Door 1 Closed
1812,field1,Top Temperature
1812,field2,Bottom Temperature
1812,field4,Bottom Humidity
1812,field3,Top Humidity
1814,field2,field2
1814,field1,field1
1818,field6,steering command
1818,field1,voltage
1818,field7,sats tracking
1818,field2,battery current
1818,field4,gps course
1818,field3,compass heading
1818,field5,target heading
1819,field2,Humidite
1819,field1,Temperature Aeroport
1821,field1,Field Label 1
1829,field2,Humidity
1829,field1,Temperature 
1834,field2,canale53_2
1834,field1,Temperatura
